,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.19,WT,ECC2,EX_Biomass,6.643356643356643
1,EX_4CRSOL_ex,4.237e-05,WT,ECC2,EX_4CRSOL_ex,0.0014814685314685316
2,EX_5DRIB_ex,0.00012749000000000001,WT,ECC2,EX_5DRIB_ex,0.004457692307692308
3,EX_ac_ex,1.6113539268888883,WT,ECC2,EX_ac_ex,56.34104639471638
4,EX_adp_c,1.762479051592436e-15,WT,ECC2,EX_adp_c,6.16251416640712e-14
5,EX_AMOB_ex,3.7999999999999996e-07,WT,ECC2,EX_AMOB_ex,1.3286713286713285e-05
6,EX_ca2_ex,-0.0009889500000000002,WT,ECC2,EX_ca2_ex,-0.03457867132867133
7,EX_cl_ex,-0.0009889500000000002,WT,ECC2,EX_cl_ex,-0.03457867132867133
8,EX_co2_ex,3.0084848508888884,WT,ECC2,EX_co2_ex,105.19177800310798
9,EX_coa_c,7.599999999982621e-06,WT,ECC2,EX_coa_c,0.00026573426573365806
10,EX_cobalt2_ex,-4.75e-06,WT,ECC2,EX_cobalt2_ex,-0.0001660839160839161
11,EX_cu2_ex,-0.00013471,WT,ECC2,EX_cu2_ex,-0.00471013986013986
12,EX_etoh_ex,0.0,WT,ECC2,EX_etoh_ex,0.0
13,EX_fe2_ex,-0.00156807,WT,ECC2,EX_fe2_ex,-0.05482762237762238
14,EX_fe3_ex,-0.0014835199999999999,WT,ECC2,EX_fe3_ex,-0.05187132867132867
15,EX_foex,0.0,WT,ECC2,EX_foex,0.0
16,EX_glc__D_ex,-2.86,WT,ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,0.0,WT,ECC2,EX_glyc_ex,0.0
18,EX_h_ex,4.401665452000002,WT,ECC2,EX_h_ex,153.90438643356651
19,EX_h2_ex,0.0,WT,ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,8.02551123088889,WT,ECC2,EX_h2o_ex,280.6122808003108
21,EX_k_ex,-0.037086100000000004,WT,ECC2,EX_k_ex,-1.2967167832167834
22,EX_lac_ex,1.0430829251111102,WT,ECC2,EX_lac_ex,36.47143094794092
23,EX_meoh_ex,3.7999999999999996e-07,WT,ECC2,EX_meoh_ex,1.3286713286713285e-05
24,EX_mg2_ex,-0.0016482500000000002,WT,ECC2,EX_mg2_ex,-0.057631118881118895
25,EX_mn2_ex,-0.00013129,WT,ECC2,EX_mn2_ex,-0.004590559440559441
26,EX_mobd_ex,-2.4509999999999997e-05,WT,ECC2,EX_mobd_ex,-0.0008569930069930069
27,EX_mqn8_c,0.0,WT,ECC2,EX_mqn8_c,0.0
28,EX_MTHTHF_ex,8.512e-05,WT,ECC2,EX_MTHTHF_ex,0.0029762237762237767
29,EX_nad_c,0.0,WT,ECC2,EX_nad_c,0.0
30,EX_nadp_c,3.9898639947466563e-16,WT,ECC2,EX_nadp_c,1.3950573408205093e-14
31,EX_nh4_ex,-2.052133,WT,ECC2,EX_nh4_ex,-71.75290209790211
32,EX_ni2_ex,-6.137e-05,WT,ECC2,EX_ni2_ex,-0.002145804195804196
33,EX_o2_ex,-2.6026030508888893,WT,ECC2,EX_o2_ex,-91.0001066744367
34,EX_pi_c,3.4200000011835874e-06,WT,ECC2,EX_pi_c,0.00011958041962180377
35,EX_pi_ex,-0.1832569,WT,ECC2,EX_pi_ex,-6.407583916083917
36,EX_q8_c,0.0,WT,ECC2,EX_q8_c,0.0
37,EX_so4_ex,-0.0479199,WT,ECC2,EX_so4_ex,-1.675520979020979
38,EX_succ_ex,0.0,WT,ECC2,EX_succ_ex,0.0
39,EX_zn2_ex,-6.479e-05,WT,ECC2,EX_zn2_ex,-0.0022653846153846153
40,Growth,0.19,WT,ECC2,Growth,6.643356643356643
41,ACALD,0.0,WT,ECC2,ACALD,0.0
42,AcEx,1.6113539268888883,WT,ECC2,AcEx,56.34104639471638
43,ACKr,1.5006637268888883,WT,ECC2,ACKr,52.47075968142966
44,ACONTa,0.204288,WT,ECC2,ACONTa,7.1429370629370625
45,ACONTb,0.204288,WT,ECC2,ACONTb,7.1429370629370625
46,AcUp,0.0,WT,ECC2,AcUp,0.0
47,ADK1,0.503785,WT,ECC2,ADK1,17.61486013986014
48,AKGDH,0.0,WT,ECC2,AKGDH,0.0
49,ALCD2x,0.0,WT,ECC2,ALCD2x,0.0
50,ATPM,0.0,WT,ECC2,ATPM,0.0
51,ATPS4rpp,8.55811685311111,WT,ECC2,ATPS4rpp,299.234855003885
52,CO2Ex,3.0084848508888884,WT,ECC2,CO2Ex,105.19177800310798
53,CO2Up,0.0,WT,ECC2,CO2Up,0.0
54,CS,0.204288,WT,ECC2,CS,7.1429370629370625
55,CYTBO3_4pp,5.205206101777779,WT,ECC2,CYTBO3_4pp,182.0002133488734
56,EDA,1.1605216519999992,WT,ECC2,EDA,40.577680139860114
57,EDD,1.1605216519999992,WT,ECC2,EDD,40.577680139860114
58,ENO,3.5799043,WT,ECC2,ENO,125.17147902097902
59,EthEx,0.0,WT,ECC2,EthEx,0.0
60,F6PA,0.0,WT,ECC2,F6PA,0.0
61,FBA,1.3383014800000006,WT,ECC2,FBA,46.793758041958064
62,FBP,0.0,WT,ECC2,FBP,0.0
63,FHL,0.0,WT,ECC2,FHL,0.0
64,FormEx,0.0,WT,ECC2,FormEx,0.0
65,FRD2,0.0,WT,ECC2,FRD2,0.0
66,FUM,0.19813009999999998,WT,ECC2,FUM,6.927625874125874
67,G3PD2,-0.026415699999999997,WT,ECC2,G3PD2,-0.923625874125874
68,G3PD5,0.0,WT,ECC2,G3PD5,0.0
69,G6PDH2r,1.7476996759999994,WT,ECC2,G6PDH2r,61.108380279720265
70,GAPD,3.9062863000000005,WT,ECC2,GAPD,136.5834370629371
71,GLCptspp,2.86,WT,ECC2,GLCptspp,100.0
72,GLCt2pp,0.0,WT,ECC2,GLCt2pp,0.0
